Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,6.292,6.033,6.158,8.358,8.000,7.500,7.325,7.100,6.925,6.900,6.992,6.333,5.825
France,8.825,7.983,7.458,9.083,9.267,9.208,9.792,10.308,10.300,10.375,10.050,9.433,9.108
Germany,10.042,8.575,7.383,7.667,6.933,5.858,5.367,5.242,5.008,4.625,4.150,3.758,3.392
Italy,6.792,6.125,6.733,7.742,8.350,8.408,10.675,12.142,12.608,11.908,11.667,11.258,10.633
Japan,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.817,2.442
United Kingdom,5.425,5.350,5.725,7.625,7.900,8.100,7.975,7.575,6.200,5.375,4.875,4.425,4.075
United States,4.608,4.617,5.800,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.350,3.892
